chA	chB	ch1	ch2	eg
ā	pi	ā	api	samāpattiyāpi
ā	pi	a	api	ajjāpi
e	pi	e	api	suttepi
i	pi	i	api	tīṇipi
ī	pi	ī	api	bhaginīpi
m	pi	ṃ	api	kusacīrampi
o	pi	o	api	tissopi
u	pi	u	api	mātupi
ū	pi	ū	api	ṭhitabhikkhūpi
