abbhu
abhidaṃ
adāni
adda
adhi
adi
aha
akampi
ala
ale
amahaṃ
āmaṃ
ana
aṇa
āna
anāma
anāmi
ānandanti
ananti
aṇanti
anatthāya
anīti
aññanti
āpa
āpā
apāyaṃ
ape
appe
ara
arā
araṃ
asa
asanā
asataṃ
assāyaṃ
assunā
ato
ātu
ave
aveti
aveti
aya
āya
āyaṃ
āyāti
āyatu
aye
āye
bha
ci
da
daṃ
dhi
e
em
ene
ese
eti
ha
hā
haṃ
he
hu
isataṃ
isiṃ
issa
ita
itā
itaṃ
itaṃ
ite
ivaṇṇe
kampi
ma
mābhi
mahaṃ
mahāni
māni
maññanti
manti
nā
ṇa
ṇa
naṃ
ṇaṃ
nametaṃ
namha
nāva
ne
nijā
nīti
ñña
ṇo
opi
opi
osi
pa
pā
paṃ
pāyaṃ
pe
pete
pi
po
raññaṃ
re
rome
sapi
sat
si
sīti
ssa
supi
ta
tā
tanti
theva
ti
ṭṭhā
tv
ty
u
udaṃ
umaṃ
va
va
vāhaṃ
vāti
ve
vesā
veso
vetaṃ
veti
vidaṃ
yā
yāti
