chA	chB	ch1	ch2	eg
a	va	a	eva	cūḷava
ā	va	ā	eva	datvāva
e	va	a	eva	ceva
e	va	e	eva	pubbeva
e	va	i	eva	sabbāneva
e	va	o	eva	eseva
ī	va	ī	eva	añjanīva
ṃ	va	ṃ	eva	hatthagataṃva
o	va	o	eva	kāyadaṇḍova
ū	va	ū	eva	bhikkhūva
e	va	o	eva	pageva
