chA	chB	ch1	ch2	eg
o	p	o	ap	buddhabhāsitopi
ā	t	ā	it	āyatanacariyāti
n	t	ṃ	it	kāyanti
m	p	ṃ	ap	aparampi
n	t	ṃ	it	attanti
ā	p	a	ap	vasenāpi
ñ	c	ṃ	c	pitāmahānañca
e	s	a	es	panesānanti
