abbhu
abhidaṃ
ada
adā
adaṇḍāsu
adāni
adanti
adda
ade
adi
adī
ādima
adīnaṃ
ādisaṃ
ado
adu
ādu
aga
ago
agu
aha
ahā
āhanti
ahi
ahī
aho
ahū
ajā
aka
akā
akālato
akaṃ
akampi
akkhe
ako
ala
alā
aḷā
alato
ale
alena
āḷi
alo
āma
āmā
amahaṃ
āmaṃ
amaṇi
amaññaṃ
amatta
amattaṃ
amatte
āmo
aṃsa
aṃsi
aṃsū
amu
amuṃ
ana
aṇa
āna
ānā
āṇa
anāma
anāmi
ānandanti
ananti
aṇanti
anatthāya
ane
āneti
anīti
aññanti
āpā
apassa
apāyaṃ
ape
āpe
apetaṃ
apete
apettha
āpissa
appe
ara
arā
āra
araṃ
aramhi
ari
arī
arū
asa
asā
āsa
asaṃ
asanā
asanti
āsanti
asataṃ
asī
āsi
āsī
aso
assasa
assāyaṃ
assunā
asu
atigo
ato
attaṃ
atte
attena
ātu
āvāhaṃ
avanī
ave
aveti
avi
avī
āvi
āvī
aya
ayā
āya
āyā
āyaṃ
āyamhi
ayanti
āyanti
āyanti
ayati
āyāti
āyatu
aye
āye
ayita
ayo
āyū
bha
bhā
bhū
ci
da
daṃ
dāyi
dento
dhi
dinā
dīnaṃ
dināni
disa
disaṃ
do
e
em
enā
enassa
enāyaṃ
ene
eno
ese
esu
eta
eti
etu
ga
gaṃ
gha
gu
ha
hā
haṃ
hanti
hāpe
he
hu
icche
ida
isa
isataṃ
ise
isi
isī
isiṃ
issa
ita
itā
itaṃ
ite
īti
ītī
ito
ivaṇṇe
ja
jā
jani
jha
ka
kā
kaṃ
kampi
kanti
kāyanti
kha
khe
khu
ki
kire
ko
ma
mā
mābhi
mahaṃ
mahāni
maṃ
māni
maññaṃ
maññanti
manti
manu
matti
na
nā
ṇa
naha
nāhu
naṃ
ṇaṃ
nametaṃ
namha
nattha
naṭṭho
nāva
nāyaṃ
ne
nidde
nijā
nīti
ñña
no
ṇo
oda
ohanti
oja
okā
opa
opā
opi
osa
osi
pa
pā
paṃ
pāva
pāyaṃ
pe
petaṃ
pete
pi
po
raññaṃ
re
rome
sa
sā
sahana
saja
sajā
saṃ
santi
sapi
sat
seva
si
sīti
so
ssa
su
sū
supi
ta
tā
tama
tamā
tame
tanti
taso
tāva
tāya
te
ṭha
ṭhā
ṭhe
theva
thi
ṭho
ti
ṭṭhā
tumā
tv
ty
u
uda
udaṃ
uma
umaṃ
ume
ura
urā
ūsa
uttaṃ
va
vā
vāhaṃ
vāti
ve
vesā
veso
vetaṃ
veti
vidaṃ
vino
vo
ya
yā
yaṃ
yanti
yati
yāti
yāyanti
ye
yito
yu
ke
dā
se
ge
de
gā
ena
āse
āyena
iṇa
iha
motu
esi
esanti
isanti
āne
ase
āpa
byā
alī
ali
āṇī
ārā
āse
are
āre
usu
adū
āṇā
elo
ūnā
jaṃ
ghi
ātū
āsu
vāyanti
vāyaṃ
pissaṃ
elā
āge
bhu
ātu
āsā
āro
kva
āme
ādā
puṃ
uru
ura
dhī
sene
seni
sesi
pakā
kalā
setu
kala
sito
soto
soṇī
savo
kāni
sahe
sahi
sahī
saje
sakā
āso
pupphanti
jāna
joto
kīḷī
kīḷa
kāri
same
sane
ādaṃ
madā
madaṃ
mada
adiṃ
alassa
aduṃ
gadante
aggo
akuṃ
alaṃ
alle
anhā
anha
avasena
asiṃ
asse
assū
avaṃ
rahaṃ
aṃso
haṃsu
aṃsu
aṇhā
aṇḍa
aṇḍā
aṇṇa
aṇṇe
aṭṭā
bali
bhaṃ
bhuṃ
bila
bilase
bāhā
bālā
bījā
cari
cite
citi
vanā
cāri
cāro
cātu
cāṭu
cīre
ālito
alito
daka
adaka
dehī
desa
anāvasena
vase
āvase
avase
anāvase
sajanā
akkhā
akkhī
dina
diso
disābhi
diva
dive
akāle
dohi
dosābhi
duti
dāmā
dānā
kopi
ādāti
dūri
agā
ānaṃ
sukhi
ātuṃ
rosanti
ānayo
paṭhaṃ

